BIO_ZONE,observation,severity
Balsam-fir-yellow birch,831,21.27933835
Balsam-fir-yellow birch,832,21.27933835
Balsam-fir-yellow birch,833,21.27933835
Balsam-fir-yellow birch,834,21.27933835
Balsam-fir-yellow birch,835,14.03497066
Balsam-fir-yellow birch,836,14.03497066
Balsam-fir-yellow birch,837,14.03497066
Balsam-fir-yellow birch,838,14.03497066
Balsam-fir-yellow birch,839,14.03497066
Balsam-fir-yellow birch,840,0.216166435
Balsam-fir-yellow birch,841,0.216166435
Balsam-fir-yellow birch,842,0.216166435
Balsam-fir-yellow birch,843,7.009566261
Balsam-fir-yellow birch,844,7.009566261
Balsam-fir-yellow birch,845,7.009566261
Balsam-fir-yellow birch,846,7.009566261
Balsam-fir-yellow birch,847,7.009566261
Balsam-fir-yellow birch,848,6.222442383
Balsam-fir-yellow birch,849,6.222442383
Balsam-fir-yellow birch,850,6.222442383
Balsam-fir-yellow birch,851,6.222442383
Balsam-fir-yellow birch,852,27.65976389
Balsam-fir-yellow birch,853,27.65976389
Balsam-fir-yellow birch,854,20.23876468
Balsam-fir-yellow birch,855,20.23876468
Balsam-fir-yellow birch,856,20.23876468
Balsam-fir-yellow birch,857,20.23876468
Balsam-fir-yellow birch,858,20.23876468
Balsam-fir-yellow birch,859,81.86942969
Balsam-fir-yellow birch,860,81.86942969
Balsam-fir-yellow birch,861,81.86942969
Balsam-fir-yellow birch,862,3.422739641
Balsam-fir-yellow birch,863,3.422739641
Balsam-fir-yellow birch,864,2.834947259
Balsam-fir-yellow birch,865,2.834947259
Balsam-fir-yellow birch,866,2.834947259
Balsam-fir-yellow birch,867,5.986288328
Balsam-fir-yellow birch,868,5.986288328
Balsam-fir-yellow birch,869,5.986288328
Balsam-fir-yellow birch,870,5.986288328
Balsam-fir-yellow birch,871,13.28342057
Balsam-fir-yellow birch,872,13.28342057
Balsam-fir-yellow birch,873,13.28342057
Balsam-fir-yellow birch,874,13.28342057
Balsam-fir-yellow birch,875,0.71017173
Balsam-fir-yellow birch,876,0.71017173
Balsam-fir-yellow birch,877,2.105326816
Balsam-fir-yellow birch,878,2.105326816
Balsam-fir-yellow birch,879,2.105326816
Balsam-fir-yellow birch,880,18.38482168
Balsam-fir-yellow birch,881,18.38482168
Balsam-fir-yellow birch,882,5.927009747
Balsam-fir-yellow birch,883,5.927009747
Balsam-fir-yellow birch,884,28.17395206
Balsam-fir-yellow birch,885,28.17395206
Balsam-fir-yellow birch,886,28.17395206
Balsam-fir-yellow birch,887,28.17395206
Balsam-fir-yellow birch,888,4.69310624
Balsam-fir-yellow birch,889,4.69310624
Balsam-fir-yellow birch,890,0.709692238
Balsam-fir-yellow birch,891,0.709692238
Balsam-fir-yellow birch,892,1.128252225
Balsam-fir-yellow birch,893,1.128252225
Balsam-fir-yellow birch,894,1.128252225
Balsam-fir-yellow birch,895,1.128252225
Balsam-fir-yellow birch,896,1.128252225
Balsam-fir-yellow birch,897,21.39918235
Balsam-fir-yellow birch,898,21.39918235
Balsam-fir-yellow birch,899,21.39918235
Balsam-fir-yellow birch,900,21.39918235
Balsam-fir-yellow birch,901,39.12256533
Balsam-fir-yellow birch,902,39.12256533
Balsam-fir-yellow birch,903,39.12256533
Balsam-fir-yellow birch,904,39.12256533
Balsam-fir-yellow birch,905,39.12256533
Balsam-fir-yellow birch,906,42.812325
Balsam-fir-yellow birch,907,42.812325
Balsam-fir-yellow birch,908,42.812325
Balsam-fir-yellow birch,909,42.812325
Balsam-fir-yellow birch,910,42.812325
Balsam-fir-yellow birch,911,5.300440579
Balsam-fir-yellow birch,912,5.300440579
Balsam-fir-yellow birch,913,50.05546602
Balsam-fir-yellow birch,914,50.05546602
Balsam-fir-yellow birch,915,50.05546602
Balsam-fir-yellow birch,916,50.05546602
Balsam-fir-yellow birch,917,73.78775146
Balsam-fir-yellow birch,918,73.78775146
Balsam-fir-yellow birch,919,73.78775146
Balsam-fir-yellow birch,920,73.78775146
Balsam-fir-yellow birch,921,5.147519752
