TSO_yrs,BIO_ZONE,SEVERITY_cl,se_Live_C,n_Live_C,se_Dead_C_new_h,n_Dead_C_new_h,ci_Live_C_lower,ci_Live_C_upper,ci_Dead_C_lower,ci_Dead_C_upper,Carbon_Type,Mean_Carbon
18,Balsam_fir-yellow_birch,Low,7.91,16,0.24,16.00,63.98,94.98,0.30,1.25,Live_Carbon,79.48
18,Balsam_fir-yellow_birch,Low,7.91,16,0.24,16.00,63.98,94.98,0.30,1.25,Dead_Carbon,0.78
18,Balsam_fir-yellow_birch,High,3.45,17,3.81,17.00,25.32,38.84,16.58,31.51,Live_Carbon,32.08
18,Balsam_fir-yellow_birch,High,3.45,17,3.81,17.00,25.32,38.84,16.58,31.51,Dead_Carbon,24.05
21,Balsam_fir-white_birch,Low,5.32,13,0.55,13.00,49.96,70.82,1.35,3.49,Live_Carbon,60.39
21,Balsam_fir-white_birch,Low,5.32,13,0.55,13.00,49.96,70.82,1.35,3.49,Dead_Carbon,2.42
21,Balsam_fir-white_birch,Moderate,3.83,19,1.32,19.00,41.96,56.99,4.91,10.09,Live_Carbon,49.47
21,Balsam_fir-white_birch,Moderate,3.83,19,1.32,19.00,41.96,56.99,4.91,10.09,Dead_Carbon,7.50
21,Balsam_fir-white_birch,High,3.26,25,3.26,25.00,21.52,34.30,9.71,22.49,Live_Carbon,27.91
21,Balsam_fir-white_birch,High,3.26,25,3.26,25.00,21.52,34.30,9.71,22.49,Dead_Carbon,16.10
21,Balsam_fir-yellow_birch,Low,5.46,16,0.32,16.00,54.18,75.57,0.62,1.88,Live_Carbon,64.87
21,Balsam_fir-yellow_birch,Low,5.46,16,0.32,16.00,54.18,75.57,0.62,1.88,Dead_Carbon,1.25
21,Balsam_fir-yellow_birch,Moderate,5.76,11,1.33,11.00,31.32,53.90,2.87,8.08,Live_Carbon,42.61
21,Balsam_fir-yellow_birch,Moderate,5.76,11,1.33,11.00,31.32,53.90,2.87,8.08,Dead_Carbon,5.48
21,Balsam_fir-yellow_birch,High,3.75,14,4.04,14.00,26.72,41.41,3.92,19.77,Live_Carbon,34.06
21,Balsam_fir-yellow_birch,High,3.75,14,4.04,14.00,26.72,41.41,3.92,19.77,Dead_Carbon,11.84
22,Balsam_fir-white_birch,Low,6.58,11,0.43,11.00,52.02,77.79,0.93,2.63,Live_Carbon,64.90
22,Balsam_fir-white_birch,Low,6.58,11,0.43,11.00,52.02,77.79,0.93,2.63,Dead_Carbon,1.78
22,Balsam_fir-white_birch,Moderate,3.96,11,1.91,11.00,36.02,51.52,1.61,9.08,Live_Carbon,43.77
22,Balsam_fir-white_birch,Moderate,3.96,11,1.91,11.00,36.02,51.52,1.61,9.08,Dead_Carbon,5.34
22,Balsam_fir-white_birch,High,2.32,27,2.94,27.00,21.74,30.82,10.45,21.97,Live_Carbon,26.28
22,Balsam_fir-white_birch,High,2.32,27,2.94,27.00,21.74,30.82,10.45,21.97,Dead_Carbon,16.21
22,Balsam_fir-yellow_birch,Moderate,3.35,15,0.76,15.00,40.09,53.20,1.75,4.75,Live_Carbon,46.65
22,Balsam_fir-yellow_birch,Moderate,3.35,15,0.76,15.00,40.09,53.20,1.75,4.75,Dead_Carbon,3.25
22,Balsam_fir-yellow_birch,High,4.29,14,2.19,14.00,22.29,39.13,2.14,10.73,Live_Carbon,30.71
22,Balsam_fir-yellow_birch,High,4.29,14,2.19,14.00,22.29,39.13,2.14,10.73,Dead_Carbon,6.44
23,Balsam_fir-white_birch,Moderate,4.45,13,0.91,13.00,40.39,57.85,2.35,5.93,Live_Carbon,49.12
23,Balsam_fir-white_birch,Moderate,4.45,13,0.91,13.00,40.39,57.85,2.35,5.93,Dead_Carbon,4.14
23,Balsam_fir-yellow_birch,Low,4.34,25,0.24,25.00,60.36,77.35,0.32,1.26,Live_Carbon,68.85
23,Balsam_fir-yellow_birch,Low,4.34,25,0.24,25.00,60.36,77.35,0.32,1.26,Dead_Carbon,0.79
23,Balsam_fir-yellow_birch,Moderate,3.04,23,0.72,23.00,39.26,51.17,2.37,5.20,Live_Carbon,45.22
23,Balsam_fir-yellow_birch,Moderate,3.04,23,0.72,23.00,39.26,51.17,2.37,5.20,Dead_Carbon,3.79
23,Balsam_fir-yellow_birch,High,2.29,31,1.30,31.00,24.18,33.15,2.77,7.88,Live_Carbon,28.66
23,Balsam_fir-yellow_birch,High,2.29,31,1.30,31.00,24.18,33.15,2.77,7.88,Dead_Carbon,5.33
24,Balsam_fir-white_birch,Moderate,4.67,11,2.16,11.00,42.14,60.43,3.87,12.32,Live_Carbon,51.28
24,Balsam_fir-white_birch,Moderate,4.67,11,2.16,11.00,42.14,60.43,3.87,12.32,Dead_Carbon,8.09
24,Balsam_fir-white_birch,High,3.10,12,3.50,12.00,23.01,35.18,-0.16,13.54,Live_Carbon,29.10
24,Balsam_fir-white_birch,High,3.10,12,3.50,12.00,23.01,35.18,-0.16,13.54,Dead_Carbon,6.69
24,Balsam_fir-yellow_birch,Moderate,4.66,10,1.09,10.00,43.08,61.36,1.77,6.05,Live_Carbon,52.22
24,Balsam_fir-yellow_birch,Moderate,4.66,10,1.09,10.00,43.08,61.36,1.77,6.05,Dead_Carbon,3.91
25,Balsam_fir-white_birch,Moderate,5.65,10,0.96,10.00,29.40,51.53,1.43,5.19,Live_Carbon,40.46
25,Balsam_fir-white_birch,Moderate,5.65,10,0.96,10.00,29.40,51.53,1.43,5.19,Dead_Carbon,3.31
25,Balsam_fir-white_birch,High,2.78,23,3.42,23.00,20.30,31.18,10.84,24.26,Live_Carbon,25.74
25,Balsam_fir-white_birch,High,2.78,23,3.42,23.00,20.30,31.18,10.84,24.26,Dead_Carbon,17.55
25,Balsam_fir-yellow_birch,Moderate,5.56,14,1.67,14.00,39.09,60.89,4.01,10.56,Live_Carbon,49.99
25,Balsam_fir-yellow_birch,Moderate,5.56,14,1.67,14.00,39.09,60.89,4.01,10.56,Dead_Carbon,7.29
26,Balsam_fir-white_birch,Moderate,2.96,10,1.41,10.00,48.82,60.43,5.10,10.63,Live_Carbon,54.62
26,Balsam_fir-white_birch,Moderate,2.96,10,1.41,10.00,48.82,60.43,5.10,10.63,Dead_Carbon,7.86
26,Balsam_fir-white_birch,High,3.00,14,2.56,14.00,27.43,39.20,9.22,19.26,Live_Carbon,33.32
26,Balsam_fir-white_birch,High,3.00,14,2.56,14.00,27.43,39.20,9.22,19.26,Dead_Carbon,14.24
